chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
280,,9,3,11,25,0.7083333333333334,0.671875
281,,14,0,16,18,0.6666666666666666,0.6643356643356644
282,,16,0,24,8,0.5,0.4857142857142857
283,,11,0,12,25,0.75,0.7267552182163188
284,,15,1,20,12,0.5625,0.5607843137254902
285,,15,0,25,8,0.4791666666666667,0.4678492239467849
286,,12,0,11,25,0.7708333333333334,0.7526932084309134
287,,12,1,12,23,0.7291666666666666,0.7141548327989007
288,,13,0,22,13,0.5416666666666666,0.5416666666666666
289,,13,0,13,22,0.7291666666666666,0.7192982456140351
290,,12,0,19,17,0.6041666666666666,0.5998244844229925
291,,12,1,7,28,0.8333333333333334,0.8125
292,,12,0,14,22,0.7083333333333334,0.6950998185117967
293,,12,0,20,16,0.5833333333333334,0.5804195804195804
294,,12,0,21,15,0.5625,0.5607843137254902
295,,10,1,9,5,0.6,0.5833333333333333
296,,11,0,16,8,0.5428571428571428,0.5394736842105263
297,,12,0,25,11,0.4791666666666667,0.47894051237516283
298,,14,2,12,20,0.7083333333333334,0.7037037037037037
299,,13,0,23,12,0.5208333333333334,0.5206252713851498
300,,13,0,22,12,0.5319148936170213,0.5317028985507246
301,,13,0,19,16,0.6041666666666666,0.6026143790849673
302,,14,0,21,13,0.5625,0.5623100303951367
303,,16,0,22,10,0.5416666666666666,0.5343915343915344
304,,12,0,22,14,0.5416666666666666,0.5408695652173914
305,,16,0,19,13,0.6041666666666666,0.6026143790849673
306,,14,0,21,13,0.5625,0.5623100303951367
307,,22,1,10,15,0.7708333333333334,0.7658536585365854
308,,25,1,11,11,0.75,0.7267552182163188
309,,20,0,21,7,0.5625,0.5278688524590164
310,,21,0,16,11,0.6666666666666666,0.6515426497277677
311,,11,0,24,12,0.48936170212765956,0.4891304347826087
312,,18,0,25,5,0.4791666666666667,0.4379391100702576
313,,13,0,20,15,0.5833333333333334,0.5826086956521739
314,,13,1,20,14,0.5625,0.5623100303951367
315,,14,0,28,6,0.4166666666666667,0.4
316,,17,0,29,2,0.3958333333333333,0.33044733044733043
317,,14,0,22,12,0.5416666666666666,0.5408695652173914
318,,12,0,23,13,0.5208333333333334,0.5206252713851498
319,,18,0,23,7,0.5208333333333334,0.4942739349519011
320,,15,0,22,11,0.5416666666666666,0.5384615384615384
321,,17,0,20,11,0.5833333333333334,0.5767195767195767
322,,26,0,13,9,0.7291666666666666,0.6903225806451614
323,,34,3,5,5,0.8297872340425532,0.7251461988304093
324,,40,3,4,0,0.851063829787234,0.45977011494252873
325,,23,1,14,10,0.6875,0.6627634660421545
326,,34,0,12,2,0.75,0.55
327,,12,0,7,5,0.7083333333333334,0.6812144212523719
