chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
281,2020-11-18,8,1,0,2,8,0,3,25,2,0.3673469387755102,0.4053030303030303
282,2020-11-19,21,3,0,2,7,1,3,16,1,0.5370370370370371,0.4399326599326599
283,2020-11-20,11,3,0,0,2,0,3,9,3,0.5161290322580645,0.4563492063492063
284,2020-11-21,16,1,0,1,5,2,3,16,4,0.5208333333333334,0.4913534223879051
285,2020-11-22,8,4,0,2,3,1,2,18,3,0.34146341463414637,0.3608124253285543
286,2020-11-23,5,4,0,2,15,9,5,14,4,0.41379310344827586,0.4022957582279616
287,2020-11-24,7,1,1,3,7,1,0,24,8,0.4230769230769231,0.481125293854792
288,2020-11-25,17,4,0,5,10,1,2,24,1,0.4375,0.398297147722435
289,2020-11-26,5,1,1,1,6,2,2,9,4,0.4838709677419355,0.5034343434343435
290,2020-11-27,5,3,0,0,5,0,0,19,3,0.37142857142857144,0.44057692307692303
291,2020-11-28,4,0,0,1,2,0,5,5,3,0.45,0.4488095238095238
292,2020-11-29,10,0,0,1,0,1,7,9,5,0.45454545454545453,0.36155202821869487
293,2020-11-30,13,4,0,1,7,1,1,13,1,0.5121951219512195,0.4514631610219846
294,2020-12-01,13,0,0,2,4,1,3,13,2,0.5,0.4541730670762929
295,2020-12-02,8,3,0,0,2,0,2,14,5,0.4411764705882353,0.44566544566544564
296,2020-12-03,10,7,0,2,6,0,4,18,4,0.39215686274509803,0.3934731934731935
297,2020-12-04,12,0,0,2,11,1,2,22,5,0.509090909090909,0.5369807497467072
298,2020-12-05,7,1,0,1,16,0,1,29,5,0.4666666666666667,0.5271553065670712
299,2020-12-06,4,2,0,1,3,0,2,14,2,0.32142857142857145,0.35875139353400226
